Customer_ID,Age_Group,Gender,Category,Payment_Method,Season,Purchase_Amount,Annual_Purchases,Review_Rating,Has_Subscription
1,26-35,Male,Books,PayPal,Winter,34.89807362907886,13,5,1
2,65+,Male,Electronics,Mobile Payment,Spring,54.557305610670646,4,5,0
3,46-55,Female,Beauty,PayPal,Winter,82.26327762672916,2,5,1
4,36-45,Male,Beauty,Debit Card,Spring,374.54671100244576,3,4,0
5,18-25,Female,Electronics,Debit Card,Summer,25.0,10,4,0
6,18-25,Male,Sports,Cash,Winter,81.71524856755829,3,5,0
7,18-25,Male,Sports,Debit Card,Fall,25.0,6,5,1
8,56-65,Female,Home & Garden,Debit Card,Winter,26.197218991470912,4,5,1
9,36-45,Female,Home & Garden,Cash,Winter,66.44015890845252,7,4,1
10,46-55,Male,Sports,Credit Card,Fall,59.41870526525557,6,5,1
11,18-25,Male,Sports,Mobile Payment,Fall,25.0,8,5,0
12,65+,Female,Sports,Debit Card,Summer,32.832798772473744,1,5,0
13,56-65,Male,Sports,Cash,Fall,25.0,5,4,1
14,26-35,Male,Beauty,PayPal,Fall,62.172794450767846,7,3,0
15,26-35,Female,Home & Garden,PayPal,Winter,37.136633288927925,8,3,0
16,26-35,Female,Electronics,Debit Card,Winter,35.664782250670726,4,5,1
17,26-35,Female,Clothing,Mobile Payment,Summer,100.46803146612834,5,5,0
18,36-45,Female,Electronics,Cash,Fall,127.43919313049773,4,5,0
19,36-45,Female,Books,Cash,Spring,62.09690189576745,8,5,1
20,26-35,Female,Clothing,Cash,Winter,25.0,5,4,0
21,36-45,Female,Beauty,Cash,Summer,95.6601499373674,8,3,1
22,18-25,Female,Books,Cash,Winter,32.879518290191186,11,5,1
23,26-35,Female,Home & Garden,Mobile Payment,Winter,122.83428808067639,5,4,1
24,26-35,Male,Clothing,Cash,Spring,99.43655772899682,10,5,0
25,36-45,Male,Sports,Mobile Payment,Summer,135.8283683041015,8,4,0
26,46-55,Female,Books,Mobile Payment,Spring,25.0,4,3,1
27,26-35,Female,Beauty,Mobile Payment,Spring,202.58609063899547,4,4,1
28,36-45,Male,Clothing,PayPal,Summer,98.62109426204778,3,4,1
29,36-45,Female,Sports,Credit Card,Fall,25.0,6,5,1
30,18-25,Male,Books,Debit Card,Spring,37.442281778188594,7,4,0
31,36-45,Female,Beauty,PayPal,Fall,84.08354158483019,6,3,1
32,18-25,Female,Books,Credit Card,Winter,112.91177883417954,11,5,1
33,18-25,Female,Clothing,PayPal,Summer,70.37146875796711,3,5,1
34,65+,Male,Sports,Mobile Payment,Summer,49.37458661747861,2,5,0
35,65+,Female,Home & Garden,Mobile Payment,Winter,38.967234153568626,2,4,0
36,56-65,Male,Beauty,Cash,Winter,50.30038451047694,2,3,0
37,26-35,Male,Clothing,Mobile Payment,Winter,25.0,8,4,0
38,18-25,Male,Sports,PayPal,Spring,55.33335754797726,10,3,0
39,46-55,Female,Home & Garden,Debit Card,Spring,33.89589639805317,3,3,1
40,36-45,Male,Books,Mobile Payment,Spring,48.49518101594444,6,5,0
41,18-25,Male,Sports,Credit Card,Spring,72.42842612112699,6,5,0
42,36-45,Female,Home & Garden,PayPal,Spring,45.928581257201614,7,5,1
43,18-25,Female,Clothing,Credit Card,Fall,25.0,10,4,0
44,56-65,Female,Sports,Cash,Fall,47.6956404794069,2,4,1
45,26-35,Female,Sports,Cash,Spring,25.0,4,4,0
46,46-55,Male,Electronics,Debit Card,Summer,82.41655897486046,2,4,0
47,26-35,Female,Beauty,PayPal,Summer,116.09085610477311,8,4,0
48,36-45,Female,Sports,Debit Card,Fall,74.67589938800637,8,5,0
49,36-45,Male,Home & Garden,Credit Card,Fall,25.0,4,4,0
50,26-35,Male,Beauty,Debit Card,Summer,126.7799765383761,8,5,1
51,65+,Male,Clothing,Credit Card,Summer,98.74692021373276,2,5,0
52,46-55,Male,Beauty,Debit Card,Summer,62.38277239078454,2,5,0
53,65+,Female,Electronics,Cash,Fall,25.0,4,4,0
54,56-65,Female,Clothing,PayPal,Fall,25.0,3,5,1
55,36-45,Female,Sports,Debit Card,Summer,93.14293483883058,4,5,0
56,65+,Female,Books,Credit Card,Fall,86.7853695682862,1,4,0
57,18-25,Male,Clothing,PayPal,Spring,25.0,4,4,1
58,26-35,Female,Clothing,Cash,Summer,25.0,5,3,1
